Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static nativecalls npm_cg tajs,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static nativecalls npm_cg tajs acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static nativecalls npm_cg acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static nativecalls tajs,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static nativecalls tajs acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static nativecalls acg,128,52,36,26,76,92,66,0.7188,0.7222,0.8684,0.7886
static dynamic,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler wala,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler wala npm_cg,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler wala npm_cg tajs,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler wala npm_cg tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler wala npm_cg acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler wala tajs,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler wala tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler wala acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler npm_cg,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler npm_cg tajs,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler npm_cg tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler npm_cg acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler tajs,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic closure_compiler tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic closure_compiler acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic wala,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic wala npm_cg,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic wala npm_cg tajs,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic wala npm_cg tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic wala npm_cg acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic wala tajs,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic wala tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic wala acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic npm_cg,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic npm_cg tajs,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic npm_cg tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic npm_cg acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic tajs,128,52,35,28,76,93,69,0.7578,0.8000,0.9079,0.8505
static dynamic tajs acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static dynamic acg,128,52,28,26,76,100,74,0.7813,0.9286,0.9737,0.9506
static closure_compiler,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
static closure_compiler wala,128,52,45,28,76,83,59,0.6797,0.6222,0.7763,0.6908
