Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static nativecalls npm_cg tajs,131,33,106,32,98,25,24,0.4275,0.3019,0.2449,0.2704
static nativecalls npm_cg tajs acg,131,33,61,25,98,70,62,0.6641,0.4098,0.6327,0.4974
static nativecalls npm_cg acg,131,33,61,25,98,70,62,0.6641,0.4098,0.6327,0.4974
static nativecalls tajs,131,33,106,32,98,25,24,0.4275,0.3019,0.2449,0.2704
static nativecalls tajs acg,131,33,61,25,98,70,62,0.6641,0.4098,0.6327,0.4974
static nativecalls acg,131,33,61,25,98,70,62,0.6641,0.4098,0.6327,0.4974
static dynamic,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler wala,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler wala npm_cg,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler wala npm_cg tajs,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler wala npm_cg tajs acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic closure_compiler wala npm_cg acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic closure_compiler wala tajs,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler wala tajs acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic closure_compiler wala acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic closure_compiler npm_cg,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler npm_cg tajs,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler npm_cg tajs acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic closure_compiler npm_cg acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic closure_compiler tajs,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic closure_compiler tajs acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic closure_compiler acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic wala,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic wala npm_cg,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic wala npm_cg tajs,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic wala npm_cg tajs acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic wala npm_cg acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic wala tajs,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic wala tajs acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic wala acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic npm_cg,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic npm_cg tajs,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic npm_cg tajs acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic npm_cg acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic tajs,131,33,80,32,98,51,50,0.6260,0.4000,0.5102,0.4484
static dynamic tajs acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static dynamic acg,131,33,50,25,98,81,73,0.7481,0.5000,0.7449,0.5984
static closure_compiler,131,33,106,32,98,25,24,0.4275,0.3019,0.2449,0.2704
static closure_compiler wala,131,33,106,32,98,25,24,0.4275,0.3019,0.2449,0.2704
static closure_compiler wala npm_cg,131,33,106,32,98,25,24,0.4275,0.3019,0.2449,0.2704
static closure_compiler wala npm_cg tajs,131,33,106,32,98,25,24,0.4275,0.3019,0.2449,0.2704
static closure_compiler wala npm_cg tajs acg,131,33,61,25,98,70,62,0.6641,0.4098,0.6327,0.4974
static closure_compiler wala npm_cg acg,131,33,61,25,98,70,62,0.6641,0.4098,0.6327,0.4974
static closure_compiler wala tajs,131,33,106,32,98,25,24,0.4275,0.3019,0.2449,0.2704
static closure_compiler wala tajs acg,131,33,61,25,98,70,62,0.6641,0.4098,0.6327,0.4974
static closure_compiler wala acg,131,33,61,25,98,70,62,0.6641,0.4098,0.6327,0.4974
static closure_compiler npm_cg,131,33,106,32,98,25,24,0.4275,0.3019,0.2449,0.2704
