Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static nativecalls npm_cg tajs,981,678,436,309,303,545,176,0.4944,0.7087,0.5809,0.6384
static nativecalls npm_cg tajs acg,981,678,291,200,303,690,212,0.4200,0.6873,0.6997,0.6934
static nativecalls npm_cg acg,981,678,291,200,303,690,212,0.4200,0.6873,0.6997,0.6934
static nativecalls tajs,981,678,436,309,303,545,176,0.4944,0.7087,0.5809,0.6384
static nativecalls tajs acg,981,678,291,200,303,690,212,0.4200,0.6873,0.6997,0.6934
static nativecalls acg,981,678,291,200,303,690,212,0.4200,0.6873,0.6997,0.6934
static dynamic,981,678,366,309,303,615,246,0.5657,0.8443,0.8119,0.8278
static dynamic closure_compiler,981,678,278,233,303,704,258,0.5005,0.8381,0.8515,0.8448
static dynamic closure_compiler wala,981,678,278,233,303,704,258,0.5005,0.8381,0.8515,0.8448
static dynamic closure_compiler wala npm_cg,981,678,278,233,303,704,258,0.5005,0.8381,0.8515,0.8448
static dynamic closure_compiler wala npm_cg tajs,981,678,278,233,303,704,258,0.5005,0.8381,0.8515,0.8448
static dynamic closure_compiler wala npm_cg tajs acg,981,678,213,178,303,769,268,0.4546,0.8357,0.8845,0.8594
static dynamic closure_compiler wala npm_cg acg,981,678,213,178,303,769,268,0.4546,0.8357,0.8845,0.8594
static dynamic closure_compiler wala tajs,981,678,278,233,303,704,258,0.5005,0.8381,0.8515,0.8448
static dynamic closure_compiler wala tajs acg,981,678,213,178,303,769,268,0.4546,0.8357,0.8845,0.8594
static dynamic closure_compiler wala acg,981,678,213,178,303,769,268,0.4546,0.8357,0.8845,0.8594
static dynamic closure_compiler npm_cg,981,678,278,233,303,704,258,0.5005,0.8381,0.8515,0.8448
static dynamic closure_compiler npm_cg tajs,981,678,278,233,303,704,258,0.5005,0.8381,0.8515,0.8448
static dynamic closure_compiler npm_cg tajs acg,981,678,213,178,303,769,268,0.4546,0.8357,0.8845,0.8594
static dynamic closure_compiler npm_cg acg,981,678,213,178,303,769,268,0.4546,0.8357,0.8845,0.8594
static dynamic closure_compiler tajs,981,678,278,233,303,704,258,0.5005,0.8381,0.8515,0.8448
static dynamic closure_compiler tajs acg,981,678,213,178,303,769,268,0.4546,0.8357,0.8845,0.8594
static dynamic closure_compiler acg,981,678,213,178,303,769,268,0.4546,0.8357,0.8845,0.8594
static dynamic wala,981,678,366,309,303,615,246,0.5657,0.8443,0.8119,0.8278
static dynamic wala npm_cg,981,678,366,309,303,615,246,0.5657,0.8443,0.8119,0.8278
static dynamic wala npm_cg tajs,981,678,366,309,303,615,246,0.5657,0.8443,0.8119,0.8278
static dynamic wala npm_cg tajs acg,981,678,236,200,303,745,267,0.4760,0.8475,0.8812,0.8640
static dynamic wala npm_cg acg,981,678,236,200,303,745,267,0.4760,0.8475,0.8812,0.8640
static dynamic wala tajs,981,678,366,309,303,615,246,0.5657,0.8443,0.8119,0.8278
static dynamic wala tajs acg,981,678,236,200,303,745,267,0.4760,0.8475,0.8812,0.8640
static dynamic wala acg,981,678,236,200,303,745,267,0.4760,0.8475,0.8812,0.8640
static dynamic npm_cg,981,678,366,309,303,615,246,0.5657,0.8443,0.8119,0.8278
static dynamic npm_cg tajs,981,678,366,309,303,615,246,0.5657,0.8443,0.8119,0.8278
static dynamic npm_cg tajs acg,981,678,236,200,303,745,267,0.4760,0.8475,0.8812,0.8640
static dynamic npm_cg acg,981,678,236,200,303,745,267,0.4760,0.8475,0.8812,0.8640
static dynamic tajs,981,678,366,309,303,615,246,0.5657,0.8443,0.8119,0.8278
static dynamic tajs acg,981,678,236,200,303,745,267,0.4760,0.8475,0.8812,0.8640
static dynamic acg,981,678,236,200,303,745,267,0.4760,0.8475,0.8812,0.8640
static closure_compiler,981,678,345,233,303,637,191,0.4322,0.6754,0.6304,0.6521
static closure_compiler wala,981,678,345,233,303,637,191,0.4322,0.6754,0.6304,0.6521
static closure_compiler wala npm_cg,981,678,345,233,303,637,191,0.4322,0.6754,0.6304,0.6521
static closure_compiler wala npm_cg tajs,981,678,345,233,303,637,191,0.4322,0.6754,0.6304,0.6521
static closure_compiler wala npm_cg tajs acg,981,678,268,178,303,714,213,0.3986,0.6642,0.7030,0.6830
static closure_compiler wala npm_cg acg,981,678,268,178,303,714,213,0.3986,0.6642,0.7030,0.6830
static closure_compiler wala tajs,981,678,345,233,303,637,191,0.4322,0.6754,0.6304,0.6521
static closure_compiler wala tajs acg,981,678,268,178,303,714,213,0.3986,0.6642,0.7030,0.6830
static closure_compiler wala acg,981,678,268,178,303,714,213,0.3986,0.6642,0.7030,0.6830
static closure_compiler npm_cg,981,678,345,233,303,637,191,0.4322,0.6754,0.6304,0.6521
static closure_compiler npm_cg tajs,981,678,345,233,303,637,191,0.4322,0.6754,0.6304,0.6521
static closure_compiler npm_cg tajs acg,981,678,268,178,303,714,213,0.3986,0.6642,0.7030,0.6830
static closure_compiler npm_cg acg,981,678,268,178,303,714,213,0.3986,0.6642,0.7030,0.6830
static closure_compiler tajs,981,678,345,233,303,637,191,0.4322,0.6754,0.6304,0.6521
static closure_compiler tajs acg,981,678,268,178,303,714,213,0.3986,0.6642,0.7030,0.6830
static closure_compiler acg,981,678,268,178,303,714,213,0.3986,0.6642,0.7030,0.6830
static wala,981,678,436,309,303,545,176,0.4944,0.7087,0.5809,0.6384
static wala npm_cg,981,678,436,309,303,545,176,0.4944,0.7087,0.5809,0.6384
static wala npm_cg tajs,981,678,436,309,303,545,176,0.4944,0.7087,0.5809,0.6384
