Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static nativecalls npm_cg tajs,170,45,63,25,125,107,87,0.6588,0.3968,0.6960,0.5055
static nativecalls npm_cg tajs acg,170,45,46,20,125,124,99,0.7000,0.4348,0.7920,0.5614
static nativecalls npm_cg acg,170,45,46,20,125,124,99,0.7000,0.4348,0.7920,0.5614
static nativecalls tajs,170,45,63,25,125,107,87,0.6588,0.3968,0.6960,0.5055
static nativecalls tajs acg,170,45,46,20,125,124,99,0.7000,0.4348,0.7920,0.5614
static nativecalls acg,170,45,46,20,125,124,99,0.7000,0.4348,0.7920,0.5614
static dynamic,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler wala,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler wala npm_cg,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler wala npm_cg tajs,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler wala npm_cg tajs acg,170,45,23,20,125,147,122,0.8353,0.8696,0.9760,0.9197
static dynamic closure_compiler wala npm_cg acg,170,45,23,20,125,147,122,0.8353,0.8696,0.9760,0.9197
static dynamic closure_compiler wala tajs,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler wala tajs acg,170,45,23,20,125,147,122,0.8353,0.8696,0.9760,0.9197
static dynamic closure_compiler wala acg,170,45,23,20,125,147,122,0.8353,0.8696,0.9760,0.9197
static dynamic closure_compiler npm_cg,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler npm_cg tajs,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler npm_cg tajs acg,170,45,23,20,125,147,122,0.8353,0.8696,0.9760,0.9197
static dynamic closure_compiler npm_cg acg,170,45,23,20,125,147,122,0.8353,0.8696,0.9760,0.9197
static dynamic closure_compiler tajs,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic closure_compiler tajs acg,170,45,23,20,125,147,122,0.8353,0.8696,0.9760,0.9197
static dynamic closure_compiler acg,170,45,23,20,125,147,122,0.8353,0.8696,0.9760,0.9197
static dynamic wala,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
static dynamic wala npm_cg,170,45,35,25,125,135,115,0.8235,0.7143,0.9200,0.8042
