Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static nativecalls wala acg,1105,431,487,191,674,618,378,0.5149,0.3922,0.5608,0.4616
static nativecalls npm_cg,1105,431,1035,413,674,70,52,0.4208,0.3990,0.0772,0.1293
static nativecalls npm_cg tajs,1105,431,1035,413,674,70,52,0.4208,0.3990,0.0772,0.1293
static nativecalls npm_cg tajs acg,1105,431,487,191,674,618,378,0.5149,0.3922,0.5608,0.4616
static nativecalls npm_cg acg,1105,431,487,191,674,618,378,0.5149,0.3922,0.5608,0.4616
static nativecalls tajs,1105,431,1035,413,674,70,52,0.4208,0.3990,0.0772,0.1293
static nativecalls tajs acg,1105,431,487,191,674,618,378,0.5149,0.3922,0.5608,0.4616
static nativecalls acg,1105,431,487,191,674,618,378,0.5149,0.3922,0.5608,0.4616
static dynamic,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler wala,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler wala npm_cg,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler wala npm_cg tajs,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler wala npm_cg tajs acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic closure_compiler wala npm_cg acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic closure_compiler wala tajs,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler wala tajs acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic closure_compiler wala acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic closure_compiler npm_cg,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler npm_cg tajs,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler npm_cg tajs acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic closure_compiler npm_cg acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic closure_compiler tajs,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic closure_compiler tajs acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic closure_compiler acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic wala,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic wala npm_cg,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic wala npm_cg tajs,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic wala npm_cg tajs acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic wala npm_cg acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic wala tajs,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic wala tajs acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic wala acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
static dynamic npm_cg,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic npm_cg tajs,1105,431,546,413,674,559,541,0.8633,0.7564,0.8027,0.7789
static dynamic npm_cg tajs acg,1105,431,241,191,674,864,624,0.7376,0.7925,0.9258,0.8540
