Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static nativecalls npm_cg tajs,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls npm_cg tajs acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls npm_cg acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls tajs,127,39,42,16,88,85,62,0.6142,0.3810,0.7045,0.4945
static nativecalls tajs acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static nativecalls acg,127,39,30,13,88,97,71,0.6614,0.4333,0.8068,0.5638
static dynamic,127,39,18,16,88,109,86,0.8031,0.8889,0.9773,0.9310
static dynamic closure_compiler,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic closure_compiler wala,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic closure_compiler wala npm_cg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic closure_compiler wala npm_cg tajs,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic closure_compiler wala npm_cg tajs acg,127,39,16,14,88,111,86,0.7874,0.8750,0.9773,0.9233
static dynamic closure_compiler wala npm_cg acg,127,39,16,14,88,111,86,0.7874,0.8750,0.9773,0.9233
static dynamic closure_compiler wala tajs,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic closure_compiler wala tajs acg,127,39,16,14,88,111,86,0.7874,0.8750,0.9773,0.9233
static dynamic closure_compiler wala acg,127,39,16,14,88,111,86,0.7874,0.8750,0.9773,0.9233
static dynamic closure_compiler npm_cg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic closure_compiler npm_cg tajs,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic closure_compiler npm_cg tajs acg,127,39,16,14,88,111,86,0.7874,0.8750,0.9773,0.9233
static dynamic closure_compiler npm_cg acg,127,39,16,14,88,111,86,0.7874,0.8750,0.9773,0.9233
static dynamic closure_compiler tajs,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic closure_compiler tajs acg,127,39,16,14,88,111,86,0.7874,0.8750,0.9773,0.9233
static dynamic closure_compiler acg,127,39,16,14,88,111,86,0.7874,0.8750,0.9773,0.9233
static dynamic wala,127,39,18,16,88,109,86,0.8031,0.8889,0.9773,0.9310
static dynamic wala npm_cg,127,39,18,16,88,109,86,0.8031,0.8889,0.9773,0.9310
static dynamic wala npm_cg tajs,127,39,18,16,88,109,86,0.8031,0.8889,0.9773,0.9310
static dynamic wala npm_cg tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic wala npm_cg acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic wala tajs,127,39,18,16,88,109,86,0.8031,0.8889,0.9773,0.9310
static dynamic wala tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic wala acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic npm_cg,127,39,18,16,88,109,86,0.8031,0.8889,0.9773,0.9310
static dynamic npm_cg tajs,127,39,18,16,88,109,86,0.8031,0.8889,0.9773,0.9310
static dynamic npm_cg tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic npm_cg acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic tajs,127,39,18,16,88,109,86,0.8031,0.8889,0.9773,0.9310
static dynamic tajs acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static dynamic acg,127,39,17,15,88,110,86,0.7953,0.8824,0.9773,0.9274
static closure_compiler,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala npm_cg,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala npm_cg tajs,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala npm_cg tajs acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler wala npm_cg acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler wala tajs,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler wala tajs acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler wala acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler npm_cg,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler npm_cg tajs,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler npm_cg tajs acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler npm_cg acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler tajs,127,39,38,16,88,89,66,0.6457,0.4211,0.7500,0.5393
static closure_compiler tajs acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static closure_compiler acg,127,39,34,14,88,93,68,0.6457,0.4118,0.7727,0.5372
static wala,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static wala npm_cg,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static wala npm_cg tajs,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static wala npm_cg tajs acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static wala npm_cg acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static wala tajs,127,39,44,17,88,83,61,0.6142,0.3864,0.6932,0.4962
static wala tajs acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
static wala acg,127,39,35,15,88,92,68,0.6535,0.4286,0.7727,0.5514
